Name,Formula,CAS_Number,MW,YL,Δγ/ΔT,vapH,δT,δD,δP,δH,Molar_Valume
Isopropyl acetate (isopropyl ethanoate),C₅H₁₀O₂,108-21-4,102.13,22.3,-0.11,36.84,17.6,14.9,4.5,8.2,117.1
Propyl acetate (propyl ethanoate),C₅H₁₀O₂,109-60-4,102.13,23.9,-0.12,39.99,17.6,15.3,4.3,7.6,115.3
"1,2-Dichlorobenzene",C₆H₄Cl₂,95-50-1,147.0,35.7,-0.11,49.07,20.5,19.2,6.3,3.3,112.8
Benzene,C₆H₆,71-43-2,78.11,28.2,-0.13,34.47,18.5,18.4,0.0,2.0,89.4
Aniline,C₆H₇N,62-53-3,93.13,42.4,-0.11,55.81,22.6,19.4,5.1,10.2,91.5
Cyclohexanone,C₆H₁₀O,108-94-1,98.14,34.4,-0.12,44.9,19.6,17.8,6.3,5.1,104.0
Cyclohexanol,C₆H₁₂O,108-93-0,100.16,33.4,-0.11,60.71,22.4,17.4,4.1,13.5,106.0
4-Methyl-2-pentanone (methyl isobutyl ketone),C₆H₁₂O,108-10-1,100.16,23.5,-0.1,42.44,17.0,15.3,6.1,4.1,125.8
Butyl acetate,C₆H₁₂O₂,123-86-4,116.16,24.8,-0.11,43.48,17.4,15.8,3.7,6.3,132.5
2-Methylpropyl ethanoate (isobutyl acetate),C₆H₁₂O₂,110-19-0,116.16,23.0,-0.1,41.87,16.8,15.1,3.7,6.3,133.5
2-Butoxyethanol (ethylene glycol monobutyl ether),C₆H₁₄O₂,111-76-2,118.17,26.6,-0.11,56.54,20.8,16.0,5.1,12.3,131.6
Triethanolamine,C₆H₁₅NO₃,102-71-6,149.19,51.5,-0.13,101.89,36.7,17.3,22.4,23.3,133.2
Benzonitrile,C₇H₅N,100-47-0,103.12,38.8,-0.12,54.73,19.9,17.4,9.0,3.3,102.6
Benzaldehyde,C₇H₆O,100-52-7,106.12,38.3,-0.12,50.75,21.4,19.4,7.4,5.3,101.5
Toluene,C₇H₈,108-88-3,92.13,27.9,-0.12,38.34,18.2,18.0,1.4,2.0,106.8
Benzyl alcohol,C₇H₈O,100-51-6,108.14,36.8,-0.18,65.62,23.8,18.4,6.3,13.7,103.6
3-Methylphenol (m-Cresol),C₇H₈O,108-39-4,108.14,35.8,-0.1,63.36,22.7,18.0,5.1,12.9,104.7
2-Heptanone (methyl n-amyl ketone),C₇H₁₄O,110-43-0,114.18,26.1,-0.11,47.5,17.7,16.2,5.7,4.1,139.8
n-Heptane,C₇H₁₆,142-85-5,100.21,19.8,-0.1,36.48,15.3,15.3,0.0,0.0,147.4
Styrene (phenylethene),C₈H₈,100-42-5,104.15,32.0,-0.11,49.8,19.0,18.6,1.0,4.1,115.6
Acetophenone (1-phenylethanone),C₈H₈O,98-86-2,120.15,39.0,-0.11,53.69,21.7,19.6,8.6,3.7,117.4
Ethylbenzene,C₈H₁₀,100-41-4,106.17,28.6,-0.11,42.41,17.9,17.8,0.6,1.4,123.1
o-Xylene,C₈H₁₀,95-47-6,106.17,29.6,-0.11,43.73,18.0,17.8,1.0,3.1,121.2
p-Xylene,C₈H₁₀,106-42-3,106.17,27.9,-0.11,41.87,17.9,17.6,1.0,3.1,123.2
Phenoxyethanol (ethylene glycol monophenyl ether),C₈H₁₀O₂,122-99-6,138.16,-,-,-,23.5,17.8,5.7,14.3,125.3
Octanoic acid (caprylic acid),C₈H₁₆O₂,124-07-2,144.21,27.9,-0.09,82.04,17.5,15.1,3.3,8.2,159.0
2-Ethyl-1-hexanol,C₈H₁₈O,104-76-7,130.23,27.7,-0.06,68.75,20.1,15.9,3.3,11.8,156.6
Isophorone,C₉H₁₄O,78-59-1,138.21,35.5,-0.1,53.41,19.9,16.6,8.2,7.4,150.5
1-Bromonaphthalene,C₁₀H₇Br,90-11-9,207.07,44.4,-0.1,65.6,20.9,20.3,3.1,4.1,140.0
Dibutyl phthalate,C₁₆H₂₂O₄,84-74-2,278.35,37.4,-0.1,98.66,20.2,17.8,8.6,4.1,266.0
Hexadecane,C₁₆H₃₄,544-76-3,226.44,27.1,-0.09,77.17,16.3,16.3,0.0,0.0,294.1
Dioctyl hexanedioate (dioctyl adipate),C₂₂H₄₂O₄,103-23-1,370.57,-,-,-,17.6,16.7,2.0,5.1,400.0
"Bis(2-ethylhexyl)phthalate (BEHP, dioctyl phthalate)",C₂₄H₃₈O₄,117-84-0,390.56,31.1,-0.08,117.45,18.4,16.6,7.0,3.1,377.0
Water,H₂O,7732-18-5,18.02,72.7,-0.21,43.77,47.8,15.6,16.0,42.3,18.0
Hydrogen peroxide,H₂O₂,7722-84-1,34.02,74.0,-0.21,52.01,47.0,15.5,12.2,42.7,23.2
Hydrazine,H₄N₂,302-01-2,32.04,66.9,-0.19,46.14,18.7,14.2,8.3,8.9,32.1
Mercury,Hg,7439-97-6,200.59,474,-0.23,65.41,-,-,-,-,-
Silicon tetrachloride,SiCl₄,10026-04-7,169.9,18.8,-0.1,29.68,-,-,-,-,-
