SMILES,MW,logP,VDss(L/kg),logVDss
CCO/N=C(/C(=O)NC1C(=O)N2C(C(=O)O)=C(Sc3nc(-c4cc[n+](C)cc4)cs3)CSC12)c1nsc(NP(=O)(O)O)n1,685.708,1.2197,0.53,-0.27572413
CC(C)(O/N=C(/C(=O)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12)c1csc(N)n1)C(=O)O,547.595,0.0355,0.31,-0.508638306
CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)O)=CCSC12)c1csc(N)n1,383.411,-0.5558,0.2,-0.698970004
Nc1nc(/C(=N\O)C(=O)NC2C(=O)N3C(C(=O)O)=C(/C=C4\CCN(C5CCNC5)C4=O)CSC23)ns1,534.58,-1.4422,0.27,-0.568636236
Cn1c(N)c(NC(=O)NCCN)c[n+]1CC1=C(C(=O)O)N2C(=O)C(NC(=O)/C(=N/OC(C)(C)C(=O)O)c3nsc(N)n3)C2SC1,667.711,-2.5686,0.17,-0.769551079
CO/N=C(/C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CSC12)c1csc(N)n1,554.592,-1.6113,0.12,-0.920818754
CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC12)c1ccco1,424.391,-0.536,0.15,-0.823908741
CC(C)CC(NC(=O)C(NC(=O)c1cccc(-c2ccccc2)n1)C(C)O)B(O)O,413.283,0.7707,0.87,-0.060480747
COCc1c(C(C)C)nc(C(C)C)c(/C=C/C(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,459.558,4.8807,0.33,-0.48148606
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,478.885,0.439,0.9,-0.045757491
CCC#CCC(C)C(O)C#CC1C(O)CC2C/C(=C\COCC(=O)O)CC21,374.477,2.2249,0.08,-1.096910013
CC(C)C(=O)OCC(=O)C12OC(C3CCCCC3)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C,540.697,4.7039,2.9,0.462397998
CC1(C)CC1C(=O)N/C(=C\CCCCSCC(N)C(=O)O)C(=O)O,358.46,1.4326,0.15,-0.823908741
O=C(O)C(CCc1ccccc1)NC1CCCN2CCCC(C(=O)O)N2C1=O,389.452,1.117,3.7,0.568201724
CC(C)C1C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NC(Cc2ccccc2)C(=O)N1C,588.666,-1.96573,0.26,-0.585026652
CC(NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,357.419,6.142,17.6,1.245512668
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,465.953,3.3581,1.2,0.079181246
O=C(O)C1/C(=C/CO)OC2CC(=O)N21,199.162,-1.0956,0.22,-0.657577319
COc1ccc(C2Sc3cc(Cl)ccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,448.972,4.0219,9.7,0.986771734
Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F,303.681,-0.3494,1.75,0.243038049
O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)(C2CCCCN2)C1,531.316,3.7811,15.4,1.187520721
CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CCS(=O)C3)SC12,349.455,0.4064,0.21,-0.677780705
CCCC(Nc1nc(-c2ccc(NC(=O)NCC)c(OC)c2)ncc1C)c1cccnc1,434.544,4.95032,3.41,0.532754379
Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,243.219,-2.563,0.67,-0.173925197
CCN(CC)CCS(=O)(=O)C1CCN2C(=O)c3coc(n3)CC(=O)CC(O)/C=C(C)/C=C/CNC(=O)/C=C/C(C)C(C(C)C)OC(=O)C12,690.86,2.2693,0.39,-0.408935393
O=C1CN(/N=C\c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,314.257,1.7405,0.37,-0.431798276
COC(C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,474.565,2.6437,2.5,0.397940009
CCOc1ccc(Cc2cc(C3OC(CO)C(O)C(O)C3O)ccc2Cl)cc1,408.878,1.8444,1.7,0.230448921
Cc1cc(OCC(O)CNC(C)C)c(C)c(C)c1O,267.369,2.05516,3.6,0.556302501
C=C1CCC2C(C)(COC(=O)CCC(=O)O)C(OC(=O)CCC(=O)O)CCC2(C)C1/C=C/C1=CCOC1=O,532.586,3.5992,0.13,-0.886056648
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12,464.858,0.2649,1.3,0.113943352
CN(C)CCOC1(c2ccccc2)CC2CCC1(C)C2(C)C,301.474,4.3063,7.7,0.886490725
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CC=C(CO)CC21,386.576,6.2235,5.06,0.704150517
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1,609.723,6.018,8.4,0.924279286
CC12CCCCCC(Cc3ccc(O)cc31)C2N,245.366,3.1136,5.6,0.748188027
CCC1(O)CC(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(F)c(F)cc3nc2-1,398.365,2.7479,1.42,0.152288344
CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@@H]21,583.689,2.0811,0.33,-0.48148606
C[C@H](C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1,292.426,4.1467,2.16,0.334453751
CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12,396.495,2.2785,0.32,-0.494850022
CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CNC(CNS(N)(=O)=O)C3)C(C)C12,420.513,-1.6031,0.23,-0.638272164
CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21,444.44,-0.3476,0.69,-0.161150909
COc1cccc2c1C(CO)N1C(C#N)C3CC(C(=O)O)C(C1C2)N3C,357.41,0.63458,0.23,-0.638272164
CC(=N)N1CCC(Oc2ccc(C(Cc3ccc4ccc(C(=N)N)cc4c3)C(=O)O)cc2)C1,444.535,3.98504,1.55,0.190331698
C/C(=C\C(C(C)C)N(C)C(=O)C(NC(=O)C1CCCCN1C(C)C)C(C)(C)C)C(=O)O,437.625,3.2941,1.26,0.100370545
O=C1c2cccc3cccc(c23)C(=O)N1CCNCCCNCCN1C(=O)c2cccc3cccc(c23)C1=O,520.589,3.4545,12,1.079181246
CC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O,348.399,1.1261,0.38,-0.420216403
COc1ccc(CC(NC(=O)CC(C)(C)N)C(=O)NC(Cc2cnc[nH]2)C(=O)NC(CC2CCCCC2)C(O)C(O)CC(C)C)cc1,656.869,2.5236,7.5,0.875061263
CCCCc1ncc(/C=C(/Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,424.522,4.7444,0.17,-0.769551079
CCC#CCC(C)C(O)C#CC1C(O)CC2C/C(=C\COCCCC(=O)O)CC21,402.531,3.0051,2.4,0.380211242
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)c(NC(=O)CN5CCCC5)cc(F)c4CC3CC12,558.563,0.294,2.3,0.361727836
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,324.464,4.0487,2.87,0.457881897
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,588.562,1.3386,0.18,-0.744727495
CC(O)C1C(=O)N2C(C(=O)O)=C(C3CCCO3)SC12,285.321,0.3737,0.18,-0.744727495
Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,305.761,2.7344,0.5,-0.301029996
CC(C(=O)O)c1cccc(Oc2ccccc2)c1,242.274,3.667,0.1,-1
Nc1nc(F)nc2c1ncn2C1OC(CO)C(O)C1O,285.235,-1.8409,2.2,0.342422681
CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,434.504,2.2747,1.08,0.033423755
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(OC(=O)c1ccco1)C(=O)SCF,538.584,4.9268,4.95,0.694605199
CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,411.473,4.6281,0.42,-0.37675071
CC(OC1OCCN(Cc2nn(P(=O)(O)O)c(=O)[nH]2)C1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,614.411,4.3663,0.07,-1.15490196
CC1OC1P(=O)(O)O,138.059,-0.0911,0.32,-0.494850022
CC(O)(/C=C/C1CC=CC(=O)O1)C(CC(O)/C=C/C=C/C=C/CO)OP(=O)(O)O,430.39,1.0551,0.09,-1.045757491
CC(=O)OC1CC2(C)C(CC(O)C3C4(C)CCC(O)C(C)C4CCC32C)/C1=C(\CCC=C(C)C)C(=O)O,516.719,5.6661,0.23,-0.638272164
COc1ccc(CCN(C)CCCC(C#N)(c2cc(OC)c(OC)c(OC)c2)C(C)C)cc1OC,484.637,5.10168,1.75,0.243038049
CC(C)=CCCC1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)OC12C(=CC4CC1C(C)(C)OC2(C/C=C(/C)C(=O)O)C4=O)C3=O,628.762,7.2393,0.99,-0.004364805
CC1NCc2cc(-c3ccc4c(=O)c(C(=O)O)cn(C5CC5)c4c3OC(F)F)ccc21,426.419,4.4672,1,0
CO/N=C1/CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,389.387,0.966,3.52,0.546542663
CC1C(=O)OC2CC34C5CC(C(C)(C)C)C36C(OC(=O)C6O)OC4(C(=O)O5)C21O,408.403,-0.3403,0.62,-0.207608311
NC(CCC(=O)NC(Cc1ccc(O)c(O)c1)C(=O)O)C(=O)O,326.305,-0.5982,0.21,-0.677780705
O=P(NCCCl)(NCCCl)OC1OC(CO)C(O)C(O)C1O,383.165,-1.4322,0.24,-0.619788758
NCC1OB(O)c2c(OCCCO)cccc21,237.064,-0.8347,2.37,0.374748346
CC(Oc1cc(-n2cnc3ccc(CN4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F,543.615,5.0921,12,1.079181246
CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)C=CC4C(C2)N(C)CCC341,369.417,1.9886,1.31,0.117271296
COC(=O)CC(O)(CCCC(C)(C)O)C(=O)OC1C(OC)=CC23CCCN2CCc2cc4c(cc2C13)OCO4,545.629,2.5807,1.8,0.255272505
COP(=O)(c1cc(C)cc(/C=C\C#N)c1)c1c(C(N)=O)[nH]c2ccc(Cl)c(F)c12,431.791,3.7798,0.97,-0.013228266
CC#CCC(C)C(O)/C=C/C1C(O)CC2C/C(=C/CCCC(=O)O)CC21,360.494,3.5413,0.37,-0.431798276
CCc1cc2c(cc1CC)CC(NCC(O)c1ccc(O)c3[nH]c(=O)ccc13)C2,392.499,3.1489,19.4,1.28780173
CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,613.803,2.8669,0.82,-0.086186148
N=C(N)NCCCNC(=O)C1CCCCN1C(=O)C(CC1CCCCC1)NCC(=O)O,438.573,0.37007,0.26,-0.585026652
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(I)C(C)O1,653.422,1.444,53.6,1.72916479
CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,332.464,2.8541,5.1,0.707570176
CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,586.689,4.0911,3.5,0.544068044
CC(c1nc(-c2ccc(C#N)cc2)cs1)C(O)(Cn1cncn1)c1cc(F)ccc1F,437.475,4.24298,5.37,0.729974286
COc1cc2c(cc1OC)CC(=O)N(CCCN(C)CC1Cc3cc(OC)c(OC)cc31)CC2,468.594,3.31,1.66,0.220108088
C/C(=C\c1csc(C)n1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)N1,506.709,4.05052,11,1.041392685
CC(C)CC(NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O,361.034,1.2661,3.61,0.557507202
CSCC(NC(=O)COc1cccc2cnccc12)C(=O)NC(Cc1ccccc1)C(O)C(=O)N1CSCC1C(=O)NC(C)(C)C,667.854,2.366,0.11,-0.958607315
CCCCCCCCC/C=C/C=C/C(=O)NCC(=O)NC1C(O)C(O)C(Nc2[nH]cnc3ncnc2-3)OC1C(O)CO,589.694,0.3704,0.17,-0.769551079
CCC1(O)CC(OC2CC(N3CCOCC3)C(O)C(C)O2)c2c(O)c3c(c(O)c2C1O)C(=O)c1cccc(O)c1C3=O,585.606,1.4113,20.9,1.320146286
CC(C)(N)CC(=O)NC1CCc2ccccc2N(Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)C1=O,509.614,3.6253,0.2,-0.698970004
COCC(NC(C)=O)C(=O)NCc1ccccc1,250.298,0.4539,0.58,-0.236572006
C/C(O)=C(/C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,270.21,2.99948,0.13,-0.886056648
CC1CN(C2CCC(C#N)(c3ccc(F)cc3)CC2)CCC1(C(=O)O)c1ccccc1,420.528,4.89408,1.17,0.068185862
CNCC(O)CC12CCC(c3ccccc31)c1ccccc12,293.41,3.1822,18.8,1.274157849
CN1CCC23CCCCC2C1Cc1ccc(O)cc13,257.377,3.0804,11.5,1.06069784
NCCCCC(NC1CCc2ccccc2N(CC(=O)O)C1=O)C(=O)O,363.414,0.5908,1.98,0.29666519
CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,472.553,1.14742,16,1.204119983
CC(Cc1ccccc1)NC(=O)C(N)CCCCN,263.385,1.1901,0.6,-0.22184875
CN(c1nc2ccccc2s1)C1CCN(CC(O)COc2ccc(F)c(F)c2)CC1,433.524,3.915,2.6,0.414973348
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc3c(cc1c2CN1CCN(C)CC1)OCCO3,518.57,1.5982,4.77,0.678518379
O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2,512.545,3.4168,1.2,0.079181246
CSCCC(N)C(=O)NC1(C(=O)O)CS(=O)(=O)C2C(C(=O)O)C21,366.417,-1.866,0.44,-0.356547324
NC1(C(=O)O)CS(=O)(=O)C2C(C(=O)O)C21,235.217,-2.1039,0.21,-0.677780705
Cc1nnc(C(C)C)n1C1CC2CCC(C1)N2CCC(NC(=O)C1CCC(F)(F)CC1)c1ccccc1,513.677,5.95092,2.3,0.361727836
C=C(CC(NC(=O)c1ccc(CCc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O)C(=O)O,451.443,0.5833,0.7,-0.15490196
CC1OC(OC2C(O)CC(OC3CC(O)(C(=O)CO)Cc4c(O)c5c(c(O)c43)C(=O)c3ccccc3C5=O)OC2C)CC(N)C1O,643.642,-0.1263,2.4,0.380211242
CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CNC(C(=O)N(C)C)C3)C(C)C12,383.47,-0.308,0.3,-0.522878745
COc1cc2nc(N3CCN(C(=O)C(C)OC)CC3)nc(N)c2cc1OC,375.429,0.9127,0.44,-0.356547324
CC[C@H](CO)NC(=O)[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@@H]2N(C)C1,339.439,1.9247,0.96,-0.017728767
COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)C3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1C(C2)[N+](C)(C)CC3,652.832,7.4516,0.4,-0.397940009
CN1CCN2c3ccccc3Cc3ccccc3C2C1,264.372,3.0839,13.75,1.138302698
COc1ccc(OC)c(C(O)CNC(=O)CN)c1,254.286,-0.1879,0.67,-0.173925197
CCN(CC)C(=O)C1(c2ccccc2)CC1CN,246.354,1.7714,4.51,0.654176542
CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(O)=C(C(N)=O)C(=O)C3(O)C(O)=C1C2=O,457.483,0.1866,1.6,0.204119983
Nc1nc(CC(=O)Nc2ccc(CCNCC(O)c3ccccc3)cc2)cs1,396.516,2.7722,23.8,1.376576957
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(OC(=O)c1ccco1)C(=O)CCl,521.437,4.8692,2.2,0.342422681
N=C(N)N1CCCC(CNC(=O)CC(NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N(CC(=O)O)C2CC2)C1,558.661,0.67407,0.36,-0.443697499
CC(c1ccccn1)c1c(CCN(C)[14CH3])sc2ccccc12,312.458242,4.5522,1.83,0.26245109
CN([14CH3])CCC1=C(Cc2cccnn2)c2ccc(F)cc2C1,299.369242,3.1198,1.11,0.045322979
CC(C1=C(CCN(C)[14CH3])Cc2ccccc21)c1cnccn1,295.406242,3.5417,1.86,0.269512944
CC(c1cccnc1F)c1c(CCN(C)[14CH3])sc2ccccc12,330.448242,4.6913,5.73,0.758154622
COc1c(N2CC(C)CC(N)C2)ccc2c(=O)c(C(=O)O)cn(C3CC3)c12,371.437,2.2167,1.9,0.278753601
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N2CCOC(OC)C2)C(O)C(C)O1,643.642,0.3473,49,1.69019608
CC(C)NCC(O)COc1cccc2c1N(C(=O)c1cccnc1)CCC2,369.465,2.4123,0.67,-0.173925197
CCCCC(C)(C)C(O)/C=C/C1C(O)CC(Cl)C1C/C=C/CCCC(=O)O,400.987,4.9255,0.16,-0.795880017
COC1CC(OC2C(C)C(=O)OC(C)C(C)C(O)C(C)C(=O)C3(CO3)CC(C)C(OC3OC(C)CC(N(C)C)C3O)C2C)OC(C)C1O,687.868,1.9085,0.77,-0.113509275
COc1ccc(/C=C/c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)C(N)CO,402.447,2.1495,0.44,-0.356547324
CC(=O)Nc1ccc(C2=NNC(=O)CC2C)cc1,245.282,1.5051,2.38,0.376576957
COC(=O)C(Cc1cccc(C(=N)N)c1)C(C)NC(=O)c1ccc(-c2cc[n+]([O-])cc2)cc1,446.507,2.42127,0.89,-0.050609993
C=CCOc1ccccc1OCC(O)CNC(C)C,265.353,1.9891,0.72,-0.142667504
O=C1CCCC2C3CCC[N+]4([O-])CCCC(CN12)C34,264.369,1.8843,0.61,-0.214670165
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12,460.439,-1.2436,1.7,0.230448921
CC12CC3(O)OC(O1)C1(COC(=O)c4ccccc4)C3CC21OC1OC(CO)C(O)C(O)C1O,480.466,-1.3575,0.22,-0.657577319
CC(/C=C/C(C)C(C)(C)O)C1CCC2/C(=C/C=C3CC(O)CC(O)C3)CCCC21C,416.646,5.5606,0.41,-0.387216143
C/C(=C\c1csc(C)n1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)O1,507.693,4.47752,14.4,1.158362492
CC1COc2c(C3(N)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,318.304,1.74,0.68,-0.167491087
Nc1nc(=O)c2c(CCc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)c[nH]c2[nH]1,427.417,0.6664,0.15,-0.823908741
OCC1OC(n2cnc3c2NC=NCC3O)CC1O,268.273,-0.989,0.59,-0.229147988
CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O,280.323,4.0405,0.2,-0.698970004
O=C1CCC(C(=O)N2CSCC2C(=O)O)N1,244.272,-0.7489,0.31,-0.508638306
O=C1CC(c2ccccc2)Oc2cc(O)cc(O)c21,256.257,2.8043,0.8,-0.096910013
